7zip 25.01-1
a52dec 0.8.0-2
abseil-cpp 20250814.0-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
acpi 1.8-2
ada 3.2.7-1
adwaita-cursors 48.1-1
adwaita-fonts 49.0-2
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.7-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.14-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
amd-ucode 20250808-1
amdvlk 2025.Q2.1-1
aom 3.12.1-1
apache 2.4.63-3
appstream 1.0.6-1
apr 1.7.6-1
apr-util 1.6.3-2
arandr 0.1.11-4
arc-gtk-theme-eos 20221218-2
archlinux-keyring 20250807.1-1
archlinux-xdg-menu 0.7.6.6-2
argon2 20190702-6
arj 3.10.22-14
aspell 0.60.8.1-2
at-spi2-core 2.56.4-1
atkmm 2.28.4-1
attica 6.17.0-1
attr 2.5.2-1
audit 4.0.5-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
awesome-terminal-fonts 1.1.0-5
b43-fwcutter 019-6
base 3-2
base-devel 1-2
bash 5.3.3-2
bash-completion 2.16.0-1
bat 0.25.0-4
bc 1.08.2-1
betterlockscreen 4.4.0-1
bind 9.20.12-1
binutils 2.45+r29+g2b2e51a31ec7-1
bison 3.8.2-8
blueman 2.4.6-1
bluez 5.83-1
bluez-libs 5.83-1
bluez-utils 5.83-1
boost-libs 1.88.0-3
breeze-icons 6.17.0-1
brightnessctl 0.5.1-3
brotli 1.1.0-3
btop 1.4.4-1
btrfs-progs 6.16-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
bzip3 1.5.3-1
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.115.1-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cava 0.10.4-3
cbonsai 1.4.2-1
cdparanoia 10.2-9
cdrtools 3.02a09-6
chromaprint 1.5.1-10
chromium 139.0.7258.154-1
chrono-date 3.0.4-1
cifs-utils 7.4-1
cinnamon-desktop 6.4.1-1
cinnamon-translations 6.4.2-1
cjs 6.4.0-1
clucene 2.3.3.4-16
clutter 1.26.4-3
clutter-gst 3.0.27-5
clutter-gtk 1.8.4-4
cmake 4.1.1-1
cogl 1.22.8-3
composefs 1.0.8-1
composer 2.8.11-1
confuse 3.3-4
convertlit 1.8-12
coreutils 9.7-1
cosmic-icon-theme 1.0.0.alpha.7-1
cpio 2.15-3
cppdap 1.58.0-2
cryptsetup 2.8.1-1
cups 2:2.4.12-2
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
curl 8.15.0-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbeaver 25.1.5-1
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-units 37-2
dconf 0.40.0-3
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.34-1
dex 0.9.0-2
diffutils 3.12-2
ding-libs 0.6.2-2
dmenu 5.4-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.91-1
dnssec-anchors 20250524-1
dosfstools 4.2-5
double-conversion 3.3.1-1
downgrade 11.5.2-1
dpkg 1.22.21-1
dracut 108_eos-1
duf 0.8.1-3
duktape 2.7.0-7
dunst 1.12.2-1
e2fsprogs 1.47.3-1
ebook-tools 0.2.2-9
efibootmgr 18-3
efitools 1.9.2-5
efivar 39-1
electron37 37.2.6-2
ell 0.79-1
enchant 2.8.12-1
endeavouros-branding 25.02.1.2-1
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 25.7-1
endeavouros-xfce4-terminal-colors 6-1
eos-apps-info 25-1
eos-bash-shared 25.8-1
eos-dracut 1.7-1
eos-hooks 1.16-1
eos-lightdm-slick-theme 3.2-1
eos-log-tool 25.5-1
eos-packagelist 2.3.1-2
eos-qogir-icons 6-1
eos-quickstart 1.4.1-1
eos-rankmirrors 25.8-1
eos-settings-i3wm 4.0-1
eos-translations 25.8-1
ethtool 1:6.11-1
exempi 2.6.6-2
exfatprogs 1.2.9-1
exiv2 0.28.5-1
exo 4.20.0-2
expac 10-11
expat 2.7.1-1
eza 0.23.0-1
f2fs-tools 1.16.0-3
faac 1.31.1-1
faad2 2.11.2-1
